image,true_class,true_toxicity,model,llm,pred_class,confidence,risk_level,flagged
Agaricus xanthodermus_193.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,none,Agaricus xanthodermus,0.8084,MODERATE,False
Agaricus xanthodermus_193.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,llama,Agaricus xanthodermus,0.8084,HIGH,True
Agaricus xanthodermus_193.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,gemma,Agaricus xanthodermus,0.8084,MODERATE,False
Agaricus xanthodermus_193.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,none,Agaricus xanthodermus,0.644,HIGH,True
Agaricus xanthodermus_193.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,llama,Agaricus xanthodermus,0.644,HIGH,True
Agaricus xanthodermus_193.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,gemma,Agaricus xanthodermus,0.644,HIGH,True
Agaricus xanthodermus_285.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,none,Agaricus xanthodermus,0.2653,HIGH,True
Agaricus xanthodermus_285.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,llama,Agaricus xanthodermus,0.2653,HIGH,True
Agaricus xanthodermus_285.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,gemma,Agaricus xanthodermus,0.2653,HIGH,True
Agaricus xanthodermus_285.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,none,Clitocybe nuda,0.3381,HIGH,True
Agaricus xanthodermus_285.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,llama,Clitocybe nuda,0.3381,HIGH,True
Agaricus xanthodermus_285.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,gemma,Clitocybe nuda,0.3381,HIGH,True
Agaricus xanthodermus_285.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,none,Psathyrella candolleana,0.3322,HIGH,True
Agaricus xanthodermus_285.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,llama,Psathyrella candolleana,0.3322,HIGH,True
Agaricus xanthodermus_285.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,gemma,Psathyrella candolleana,0.3322,HIGH,True
Agaricus xanthodermus_252.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,none,Amanita phalloides,0.2718,CRITICAL,True
Agaricus xanthodermus_252.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,llama,Amanita phalloides,0.2718,CRITICAL,True
Agaricus xanthodermus_252.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,gemma,Amanita phalloides,0.2718,CRITICAL,True
Agaricus xanthodermus_252.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,none,Amanita phalloides,0.4332,CRITICAL,True
Agaricus xanthodermus_252.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,llama,Amanita phalloides,0.4332,CRITICAL,True
Agaricus xanthodermus_252.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,gemma,Amanita phalloides,0.4332,CRITICAL,True
Agaricus xanthodermus_252.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,none,Amanita phalloides,0.6787,CRITICAL,True
Agaricus xanthodermus_252.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,llama,Amanita phalloides,0.6787,CRITICAL,True
Agaricus xanthodermus_252.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,gemma,Amanita phalloides,0.6787,CRITICAL,True
Agaricus xanthodermus_107.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,none,Agaricus xanthodermus,0.9778,MODERATE,False
Agaricus xanthodermus_107.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,llama,Agaricus xanthodermus,0.9778,MODERATE,False
Agaricus xanthodermus_107.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,gemma,Agaricus xanthodermus,0.9778,MODERATE,False
Agaricus xanthodermus_107.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,none,Agaricus xanthodermus,0.6362,HIGH,True
Agaricus xanthodermus_107.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,llama,Agaricus xanthodermus,0.6362,HIGH,True
Agaricus xanthodermus_107.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,gemma,Agaricus xanthodermus,0.6362,HIGH,True
Agaricus xanthodermus_107.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,none,Agaricus xanthodermus,0.1853,HIGH,True
Agaricus xanthodermus_107.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,llama,Agaricus xanthodermus,0.1853,HIGH,True
Agaricus xanthodermus_107.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,gemma,Agaricus xanthodermus,0.1853,HIGH,True
Agaricus xanthodermus_276.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,none,Agaricus xanthodermus,0.3674,HIGH,True
Agaricus xanthodermus_276.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,llama,Agaricus xanthodermus,0.3674,HIGH,True
Agaricus xanthodermus_276.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,gemma,Agaricus xanthodermus,0.3674,HIGH,True
Agaricus xanthodermus_276.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,none,Agaricus xanthodermus,0.9458,MODERATE,False
Agaricus xanthodermus_276.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,llama,Agaricus xanthodermus,0.9458,HIGH,True
Agaricus xanthodermus_276.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,gemma,Agaricus xanthodermus,0.9458,MODERATE,False
Agaricus xanthodermus_276.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,none,Agaricus xanthodermus,0.993,MODERATE,False
Agaricus xanthodermus_276.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,llama,Agaricus xanthodermus,0.993,HIGH,True
Agaricus xanthodermus_276.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,gemma,Agaricus xanthodermus,0.993,MODERATE,False
Agaricus xanthodermus_261.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,none,Amanita phalloides,0.8011,CRITICAL,True
Agaricus xanthodermus_261.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,llama,Amanita phalloides,0.8011,CRITICAL,True
Agaricus xanthodermus_261.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,gemma,Amanita phalloides,0.8011,CRITICAL,True
Agaricus xanthodermus_261.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,none,Agaricus xanthodermus,0.8521,MODERATE,False
Agaricus xanthodermus_261.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,llama,Agaricus xanthodermus,0.8521,HIGH,True
Agaricus xanthodermus_261.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,gemma,Agaricus xanthodermus,0.8521,MODERATE,False
Agaricus xanthodermus_261.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,none,Agaricus xanthodermus,0.7164,MODERATE,False
Agaricus xanthodermus_261.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,llama,Agaricus xanthodermus,0.7164,HIGH,True
Agaricus xanthodermus_261.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,gemma,Agaricus xanthodermus,0.7164,MODERATE,False
Agaricus xanthodermus_178.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,none,Boletus pallidus,0.8678,LOW,False
Agaricus xanthodermus_178.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,llama,Boletus pallidus,0.8678,HIGH,True
Agaricus xanthodermus_178.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,gemma,Boletus pallidus,0.8678,LOW,False
Agaricus xanthodermus_178.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,none,Volvopluteus gloiocephalus,0.398,HIGH,True
Agaricus xanthodermus_178.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,llama,Volvopluteus gloiocephalus,0.398,HIGH,True
Agaricus xanthodermus_178.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,gemma,Volvopluteus gloiocephalus,0.398,HIGH,True
Agaricus xanthodermus_178.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,none,Boletus pallidus,0.2218,HIGH,True
Agaricus xanthodermus_178.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,llama,Boletus pallidus,0.2218,HIGH,True
Agaricus xanthodermus_178.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,gemma,Boletus pallidus,0.2218,HIGH,True
Agaricus xanthodermus_220.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,none,Clitocybe nuda,0.7649,LOW,False
Agaricus xanthodermus_220.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,llama,Clitocybe nuda,0.7649,HIGH,True
Agaricus xanthodermus_220.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,gemma,Clitocybe nuda,0.7649,LOW,False
Agaricus xanthodermus_220.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,none,Agaricus xanthodermus,0.5018,HIGH,True
Agaricus xanthodermus_220.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,llama,Agaricus xanthodermus,0.5018,HIGH,True
Agaricus xanthodermus_220.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,gemma,Agaricus xanthodermus,0.5018,HIGH,True
Agaricus xanthodermus_220.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,none,Clitocybe nuda,0.6011,HIGH,True
Agaricus xanthodermus_220.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,llama,Clitocybe nuda,0.6011,HIGH,True
Agaricus xanthodermus_220.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,gemma,Clitocybe nuda,0.6011,HIGH,True
Agaricus xanthodermus_82.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,none,Agaricus xanthodermus,0.5248,HIGH,True
Agaricus xanthodermus_82.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,llama,Agaricus xanthodermus,0.5248,HIGH,True
Agaricus xanthodermus_82.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,gemma,Agaricus xanthodermus,0.5248,HIGH,True
Agaricus xanthodermus_82.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,none,Agaricus xanthodermus,0.5772,HIGH,True
Agaricus xanthodermus_82.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,llama,Agaricus xanthodermus,0.5772,HIGH,True
Agaricus xanthodermus_82.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,gemma,Agaricus xanthodermus,0.5772,HIGH,True
Agaricus xanthodermus_82.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,none,Agaricus xanthodermus,0.4382,HIGH,True
Agaricus xanthodermus_82.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,llama,Agaricus xanthodermus,0.4382,HIGH,True
Agaricus xanthodermus_82.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,gemma,Agaricus xanthodermus,0.4382,HIGH,True
Agaricus xanthodermus_268.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,none,Coprinus comatus,0.7855,LOW,False
Agaricus xanthodermus_268.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,llama,Coprinus comatus,0.7855,HIGH,True
Agaricus xanthodermus_268.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,gemma,Coprinus comatus,0.7855,LOW,False
Agaricus xanthodermus_268.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,none,Coprinus comatus,0.9218,LOW,False
Agaricus xanthodermus_268.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,llama,Coprinus comatus,0.9218,HIGH,True
Agaricus xanthodermus_268.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,gemma,Coprinus comatus,0.9218,LOW,False
Agaricus xanthodermus_268.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,none,Agaricus xanthodermus,0.2768,HIGH,True
Agaricus xanthodermus_268.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,llama,Agaricus xanthodermus,0.2768,HIGH,True
Agaricus xanthodermus_268.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,gemma,Agaricus xanthodermus,0.2768,HIGH,True
Agaricus xanthodermus_267.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,none,Agaricus xanthodermus,0.5033,HIGH,True
Agaricus xanthodermus_267.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,llama,Agaricus xanthodermus,0.5033,HIGH,True
Agaricus xanthodermus_267.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,gemma,Agaricus xanthodermus,0.5033,HIGH,True
Agaricus xanthodermus_267.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,none,Amanita persicina,0.7885,MODERATE,False
Agaricus xanthodermus_267.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,llama,Amanita persicina,0.7885,MODERATE,False
Agaricus xanthodermus_267.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,gemma,Amanita persicina,0.7885,MODERATE,False
Agaricus xanthodermus_267.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,none,Agaricus xanthodermus,0.7125,MODERATE,False
Agaricus xanthodermus_267.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,llama,Agaricus xanthodermus,0.7125,HIGH,True
Agaricus xanthodermus_267.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,gemma,Agaricus xanthodermus,0.7125,MODERATE,False
Agaricus xanthodermus_71.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,none,Agaricus xanthodermus,1.0,MODERATE,False
Agaricus xanthodermus_71.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,llama,Agaricus xanthodermus,1.0,HIGH,True
Agaricus xanthodermus_71.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,gemma,Agaricus xanthodermus,1.0,MODERATE,False
Agaricus xanthodermus_71.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,none,Agaricus xanthodermus,1.0,MODERATE,False
Agaricus xanthodermus_71.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,llama,Agaricus xanthodermus,1.0,HIGH,True
Agaricus xanthodermus_71.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,gemma,Agaricus xanthodermus,1.0,MODERATE,False
Agaricus xanthodermus_71.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,none,Agaricus xanthodermus,0.9957,MODERATE,False
Agaricus xanthodermus_71.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,llama,Agaricus xanthodermus,0.9957,HIGH,True
Agaricus xanthodermus_71.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,gemma,Agaricus xanthodermus,0.9957,MODERATE,False
Agaricus xanthodermus_265.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,none,Leucoagaricus leucothites,0.5348,HIGH,True
Agaricus xanthodermus_265.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,llama,Leucoagaricus leucothites,0.5348,HIGH,True
Agaricus xanthodermus_265.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,gemma,Leucoagaricus leucothites,0.5348,HIGH,True
Agaricus xanthodermus_265.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,none,Leucoagaricus leucothites,0.6874,HIGH,True
Agaricus xanthodermus_265.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,llama,Leucoagaricus leucothites,0.6874,HIGH,True
Agaricus xanthodermus_265.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,gemma,Leucoagaricus leucothites,0.6874,HIGH,True
Agaricus xanthodermus_265.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,none,Leucoagaricus leucothites,0.5666,HIGH,True
Agaricus xanthodermus_265.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,llama,Leucoagaricus leucothites,0.5666,HIGH,True
Agaricus xanthodermus_265.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,gemma,Leucoagaricus leucothites,0.5666,HIGH,True
Agaricus xanthodermus_283.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,none,Agaricus xanthodermus,0.8248,MODERATE,False
Agaricus xanthodermus_283.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,llama,Agaricus xanthodermus,0.8248,HIGH,True
Agaricus xanthodermus_283.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,gemma,Agaricus xanthodermus,0.8248,MODERATE,False
Agaricus xanthodermus_283.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,none,Agaricus xanthodermus,0.899,MODERATE,False
Agaricus xanthodermus_283.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,llama,Agaricus xanthodermus,0.899,HIGH,True
Agaricus xanthodermus_283.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,gemma,Agaricus xanthodermus,0.899,MODERATE,False
Agaricus xanthodermus_283.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,none,Agaricus xanthodermus,0.3484,HIGH,True
Agaricus xanthodermus_283.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,llama,Agaricus xanthodermus,0.3484,HIGH,True
Agaricus xanthodermus_283.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,gemma,Agaricus xanthodermus,0.3484,HIGH,True
Agaricus xanthodermus_26.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,none,Agaricus xanthodermus,0.9693,MODERATE,False
Agaricus xanthodermus_26.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,llama,Agaricus xanthodermus,0.9693,HIGH,True
Agaricus xanthodermus_26.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,gemma,Agaricus xanthodermus,0.9693,MODERATE,False
Agaricus xanthodermus_26.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,none,Agaricus xanthodermus,0.9762,MODERATE,False
Agaricus xanthodermus_26.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,llama,Agaricus xanthodermus,0.9762,HIGH,True
Agaricus xanthodermus_26.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,gemma,Agaricus xanthodermus,0.9762,MODERATE,False
Agaricus xanthodermus_26.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,none,Agaricus xanthodermus,0.8798,MODERATE,False
Agaricus xanthodermus_26.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,llama,Agaricus xanthodermus,0.8798,HIGH,True
Agaricus xanthodermus_26.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,gemma,Agaricus xanthodermus,0.8798,MODERATE,False
Agaricus xanthodermus_129.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,none,Leucoagaricus leucothites,0.7281,LOW,False
Agaricus xanthodermus_129.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,llama,Leucoagaricus leucothites,0.7281,HIGH,True
Agaricus xanthodermus_129.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,gemma,Leucoagaricus leucothites,0.7281,LOW,False
Agaricus xanthodermus_129.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,none,Agaricus xanthodermus,0.9709,MODERATE,False
Agaricus xanthodermus_129.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,llama,Agaricus xanthodermus,0.9709,HIGH,True
Agaricus xanthodermus_129.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,gemma,Agaricus xanthodermus,0.9709,MODERATE,False
Agaricus xanthodermus_129.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,none,Agaricus xanthodermus,0.8285,MODERATE,False
Agaricus xanthodermus_129.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,llama,Agaricus xanthodermus,0.8285,HIGH,True
Agaricus xanthodermus_129.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,gemma,Agaricus xanthodermus,0.8285,MODERATE,False
Agaricus xanthodermus_89.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,none,Agaricus xanthodermus,0.9925,MODERATE,False
Agaricus xanthodermus_89.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,llama,Agaricus xanthodermus,0.9925,HIGH,True
Agaricus xanthodermus_89.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,gemma,Agaricus xanthodermus,0.9925,MODERATE,False
Agaricus xanthodermus_89.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,none,Agaricus xanthodermus,0.9938,MODERATE,False
Agaricus xanthodermus_89.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,llama,Agaricus xanthodermus,0.9938,HIGH,True
Agaricus xanthodermus_89.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,gemma,Agaricus xanthodermus,0.9938,MODERATE,False
Agaricus xanthodermus_89.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,none,Clitocybe nebularis,0.4852,HIGH,True
Agaricus xanthodermus_89.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,llama,Clitocybe nebularis,0.4852,HIGH,True
Agaricus xanthodermus_89.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,gemma,Clitocybe nebularis,0.4852,HIGH,True
Agaricus xanthodermus_28.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,none,Agaricus xanthodermus,0.4314,HIGH,True
Agaricus xanthodermus_28.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,llama,Agaricus xanthodermus,0.4314,HIGH,True
Agaricus xanthodermus_28.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,gemma,Agaricus xanthodermus,0.4314,HIGH,True
Agaricus xanthodermus_28.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,none,Volvopluteus gloiocephalus,0.7898,LOW,False
Agaricus xanthodermus_28.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,llama,Volvopluteus gloiocephalus,0.7898,HIGH,True
Agaricus xanthodermus_28.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,gemma,Volvopluteus gloiocephalus,0.7898,LOW,False
Agaricus xanthodermus_28.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,none,Leucoagaricus leucothites,0.3807,HIGH,True
Agaricus xanthodermus_28.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,llama,Leucoagaricus leucothites,0.3807,HIGH,True
Agaricus xanthodermus_28.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,gemma,Leucoagaricus leucothites,0.3807,HIGH,True
Amanita augusta_295.jpg,Amanita augusta,Toxic,YOLOv8n,none,Amanita augusta,0.8803,MODERATE,False
Amanita augusta_295.jpg,Amanita augusta,Toxic,YOLOv8n,llama,Amanita augusta,0.8803,HIGH,True
Amanita augusta_295.jpg,Amanita augusta,Toxic,YOLOv8n,gemma,Amanita augusta,0.8803,MODERATE,False
Amanita augusta_295.jpg,Amanita augusta,Toxic,YOLOv26n,none,Amanita augusta,0.7445,MODERATE,False
Amanita augusta_295.jpg,Amanita augusta,Toxic,YOLOv26n,llama,Amanita augusta,0.7445,HIGH,True
Amanita augusta_295.jpg,Amanita augusta,Toxic,YOLOv26n,gemma,Amanita augusta,0.7445,MODERATE,False
Amanita augusta_295.jpg,Amanita augusta,Toxic,EfficientNet-B0,none,Amanita augusta,0.3006,HIGH,True
Amanita augusta_295.jpg,Amanita augusta,Toxic,EfficientNet-B0,llama,Amanita augusta,0.3006,HIGH,True
Amanita augusta_295.jpg,Amanita augusta,Toxic,EfficientNet-B0,gemma,Amanita augusta,0.3006,HIGH,True
Amanita augusta_64.jpg,Amanita augusta,Toxic,YOLOv8n,none,Tylopilus rubrobrunneus,0.2389,HIGH,True
Amanita augusta_64.jpg,Amanita augusta,Toxic,YOLOv8n,llama,Tylopilus rubrobrunneus,0.2389,HIGH,True
Amanita augusta_64.jpg,Amanita augusta,Toxic,YOLOv8n,gemma,Tylopilus rubrobrunneus,0.2389,HIGH,True
Amanita augusta_64.jpg,Amanita augusta,Toxic,YOLOv26n,none,Amanita augusta,0.6474,HIGH,True
Amanita augusta_64.jpg,Amanita augusta,Toxic,YOLOv26n,llama,Amanita augusta,0.6474,HIGH,True
Amanita augusta_64.jpg,Amanita augusta,Toxic,YOLOv26n,gemma,Amanita augusta,0.6474,HIGH,True
Amanita augusta_64.jpg,Amanita augusta,Toxic,EfficientNet-B0,none,Amanita augusta,0.6512,HIGH,True
Amanita augusta_64.jpg,Amanita augusta,Toxic,EfficientNet-B0,llama,Amanita augusta,0.6512,HIGH,True
Amanita augusta_64.jpg,Amanita augusta,Toxic,EfficientNet-B0,gemma,Amanita augusta,0.6512,HIGH,True
Amanita augusta_191.jpg,Amanita augusta,Toxic,YOLOv8n,none,Amanita augusta,0.9957,MODERATE,False
Amanita augusta_191.jpg,Amanita augusta,Toxic,YOLOv8n,llama,Amanita augusta,0.9957,HIGH,True
